Title	          time	    Punchlines	     Laughs	    %	  LPM  	   PPM	  SPP	  Experience
Dr. K: Lobodomy	230	16	13	0.8125	3.391304	4.173913	14.375	139
Dr. K: Hole in the Head	334	24	23	0.958333	4.131737	4.311377	13.91667	138
Dr. K: Free at Last	354	23	15	0.652174	2.542373	3.898305	15.3913	138
Dr. K: Little Dumber Boy	452	33	26	0.787879	3.451327	4.380531	13.69697	138
Dr. K: Don't Forget to Laugh	211	18	13	0.722222	3.696682	5.118483	11.72222	137
Dr. K Returns to Othellos	313	23	18	0.782609	3.450479	4.408946	13.6087	137
Dr. K: Ron Howard Jedi	252	18	16	0.888889	3.809524	4.285714	14	136
Dr. K: Birthday/Anniversary	250	17	13	0.764706	3.12	4.08	14.70588	136
Dr. K: Live in Lawton	452	35	24	0.685714	3.185841	4.646018	12.91429	135
Dr. K: Little Steps	229	15	10	0.666667	2.620087	3.930131	15.26667	135
Dr. K: Don't Shame Me	242	14	8	0.571429	1.983471	3.471074	17.28571	135
Dr. K Roasts the Headliner	176	15	10	0.666667	3.409091	5.113636	11.73333	134
Dr. K: The United Douchebag College Fund	213	14	10	0.714286	2.816901	3.943662	15.21429	134
Dr. K: If You're a Star Wars Nerd	245	19	14	0.736842	3.428571	4.653061	12.89474	134
Dr. K: My wife, Bless Her Heart	194	12	7	0.583333	2.164948	3.71134	16.16667	132
DR. K	199	12	10	0.833333	3.015075	3.61809	16.58333	127
Doctor K	285	25	22	0.88	4.631579	5.263158	11.4	127
Dr. K Subway Series Part 6	74	7	3	0.428571	2.432432	5.675676	10.57143	125
Dr. K Subway Series Part 7	193	20	15	0.75	4.663212	6.217617	9.65	125
Dr. K Subway Series Part 5	177	22	10	0.454545	3.389831	7.457627	8.045455	125
Dr. K Subway Series Part 3	89	9	4	0.444444	2.696629	6.067416	9.888889	125
Dr. K Subway Series Part 2	235	28	10	0.357143	2.553191	7.148936	8.392857	125
Dr. K Subway Series Part 1	205	19	13	0.684211	3.804878	5.560976	10.78947	125
Dr. K One Liner Feast	199	18	17	0.944444	5.125628	5.427136	11.05556	125
Dr. K: Ho Sale	235	22	18	0.818182	4.595745	5.617021	10.68182	120
Dr. K: I Owe My Proctologist Money	223	25	15	0.6	4.035874	6.726457	8.92	119
Dr. K at Freedom Church	728	65	27	0.415385	2.225275	5.357143	11.2	116
Dr. K at Baptism Luau	456	51	47	0.921569	6.184211	6.710526	8.941176	97
John Lennon's Take on the OKC Thunder	285	23	14	0.608696	2.947368	4.842105	12.3913	94
Dr. K Qualifies for the Finals at Othellos	216	19	14	0.736842	3.888889	5.277778	11.36842	92
Dr. K in OKC Comedy Contest 2016	323	28	22	0.785714	4.086687	5.201238	11.53571	87
Dr. K Opens for Argus Hamilton	799	76	42	0.552632	3.153942	5.707134	10.51316	74
Dr. K's Christmas Time Performance	117	11	10	0.909091	5.128205	5.641026	10.63636	69
Dr. K at Oklahoma City Comedy Competition	281	26	21	0.807692	4.483986	5.551601	10.80769	65
Dr. K at the Loony Bin	260	30	22	0.733333	5.076923	6.923077	8.666667	63
Knocking Their Socks off at Othellos	107	10	5	0.5	2.803738	5.607477	10.7	60
Socks at JJs	153	15	7	0.466667	2.745098	5.882353	10.2	60
Dr.K at OKC Loony Bin	182	16	14	0.875	4.615385	5.274725	11.375	57
Dr. K at the Red Room	417	30	16	0.533333	2.302158	4.316547	13.9	55
Dr. K: From Kiss to Hickey	192	17	12	0.705882	3.75	5.3125	11.29412	40
Hickey Jeopardy	122	6	4	0.666667	1.967213	2.95082	20.33333	39
Dr. K on a Roll at 51st Street Speakeasy	480	30	12	0.4	1.5	3.75	16	39
Dr. K: Constipated Socks	168	8	1	0.125	0.357143	2.857143	21	39
Dr. K: Nittany Tiger	167	11	5	0.454545	1.796407	3.952096	15.18182	39
Dr. K: Kiss My Elk	110	8	5	0.625	2.727273	4.363636	13.75	39
Dr. K and the Price of a Cracker Jack Marriage	300	12	6	0.5	1.2	2.4	25	38
Dr. K: He's not am MD	409	27	5	0.185185	0.733496	3.96088	15.14815	38
Dr. K and JJs	260	17	11	0.647059	2.538462	3.923077	15.29412	38
Dr. K at CeeGees	380	23	11	0.478261	1.736842	3.631579	16.52174	38
Dr. K vs. Hecklers at Othellos	390	28	16	0.571429	2.461538	4.307692	13.92857	38
Dr. K at the Speakeasy	291	16	6	0.375	1.237113	3.298969	18.1875	38
Dr. K at DFW	707	47	33	0.702128	2.800566	3.988685	15.04255	28
Friends in Cyberspace	239	13	6	0.461538	1.506276	3.263598	18.38462	22
Return to Oklahoma	521	40	20	0.5	2.303263	4.606526	13.025	18
Dr. K Comedy: Campus Corner Consolation	534	35	11	0.314286	1.235955	3.932584	15.25714	6
Dr. K Comedy: Broadway Comedy Club	310	35	16	0.457143	3.096774	6.774194	8.857143	6
Dr. K Comedy: Football	134	7	3	0.428571	1.343284	3.134328	19.14286	4
Dr. K Comedy: Don't Mention Brett Favre	319	18	3	0.166667	0.564263	3.38558	17.72222	4
Dr. K Comedy: Taipei Personalities 	265	13	8	0.615385	1.811321	2.943396	20.38462	4
Dr. K Comedy: The Blade	284	11	6	0.545455	1.267606	2.323944	25.81818	4
Dr. K Comedy: It's Pool, You Perverts	235	19	9	0.473684	2.297872	4.851064	12.36842	4
Dr. K Comedy: Bay House Pub	313	25	5	0.2	0.958466	4.792332	12.52	3
